path,label,file_size,entropy,entry_point,bias,is_stripped,section_count,program_header_count,text_size,data_size,rodata_size,bss_size,dynsym_count,symtab_count,instruction_estimate,instruction_estimate_low,instruction_estimate_high,reserved_0,reserved_1,reserved_2,has_writable_executable,has_exec_stack,is_pie,has_imported_libraries,suspicious_string_count,reserved_3,reserved_4
/home/zacharywinn/projects/winncore-ml-detector/data/benign/pdfdetach,0.0,67992.0,2.1419365456469754,12928.0,1.0,1.0,30.0,12.0,8172.0,97.0,1099.0,1312.0,56.0,0.0,2043.0,204.3,612.9,0.0,0.0,0.0,0.0,0.0,1.0,1.0,9.0,0.0,0.0
/home/zacharywinn/projects/winncore-ml-detector/data/benign/gnufmt,0.0,68184.0,3.346545804194417,9280.0,1.0,1.0,31.0,13.0,18116.0,216.0,3247.0,45384.0,63.0,0.0,4529.0,452.90000000000003,1358.7,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0
/home/zacharywinn/projects/winncore-ml-detector/data/benign/gnustdbuf,0.0,68184.0,3.0661740278327634,10368.0,1.0,1.0,31.0,13.0,14948.0,216.0,3973.0,368.0,65.0,0.0,3737.0,373.70000000000005,1121.1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0
/home/zacharywinn/projects/winncore-ml-detector/data/benign/gnuprintenv,0.0,68104.0,2.3458837880033125,7104.0,1.0,1.0,31.0,13.0,11012.0,136.0,2399.0,16.0,50.0,0.0,2753.0,275.3,825.9,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0
/home/zacharywinn/projects/winncore-ml-detector/data/benign/pbmtoppa,0.0,67904.0,2.742493228400722,7168.0,1.0,1.0,30.0,12.0,12652.0,16.0,3872.0,104.0,44.0,0.0,3163.0,316.3,948.9,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
/home/zacharywinn/projects/winncore-ml-detector/data/benign/getconf,0.0,67896.0,1.8583362336182385,4736.0,1.0,1.0,31.0,13.0,2024.0,16.0,8019.0,8.0,31.0,0.0,506.0,50.6,151.79999999999998,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
/home/zacharywinn/projects/winncore-ml-detector/data/benign/xpmtoppm,0.0,67864.0,1.6939009556526912,5632.0,1.0,1.0,29.0,12.0,5660.0,56.0,2224.0,8232.0,43.0,0.0,1415.0,141.5,424.5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
/home/zacharywinn/projects/winncore-ml-detector/data/benign/pamtoxvmini,0.0,67824.0,0.7670916516682742,4800.0,1.0,1.0,29.0,12.0,1384.0,16.0,224.0,8.0,31.0,0.0,346.0,34.6,103.8,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
/home/zacharywinn/projects/winncore-ml-detector/data/benign/gnome-system-monitor,0.0,397328.0,6.145648143936489,115072.0,1.0,1.0,30.0,12.0,206300.0,1832.0,24861.0,19272.0,999.0,0.0,51575.0,5157.5,15472.5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,48.0,0.0,0.0
/home/zacharywinn/projects/winncore-ml-detector/data/benign/cpio,0.0,136976.0,6.199417259106757,20160.0,1.0,1.0,30.0,12.0,89528.0,3552.0,12149.0,1808.0,154.0,0.0,22382.0,2238.2000000000003,6714.599999999999,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0,0.0,0.0
/home/zacharywinn/projects/winncore-ml-detector/data/benign/jls,0.0,67832.0,0.9010291422542838,5376.0,1.0,1.0,29.0,12.0,1756.0,16.0,882.0,16.0,36.0,0.0,439.0,43.900000000000006,131.7,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0
/home/zacharywinn/projects/winncore-ml-detector/data/benign/kbd_mode,0.0,68184.0,1.1020967909181913,5696.0,1.0,1.0,30.0,12.0,2924.0,304.0,1224.0,8.0,34.0,0.0,731.0,73.10000000000001,219.29999999999998,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
/home/zacharywinn/projects/winncore-ml-detector/data/benign/vmstat,0.0,68360.0,2.8151340890340966,15424.0,1.0,1.0,31.0,13.0,11748.0,400.0,4332.0,32.0,68.0,0.0,2937.0,293.7,881.1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0
/home/zacharywinn/projects/winncore-ml-detector/data/benign/locale,0.0,75328.0,3.5883632844103897,9664.0,1.0,1.0,31.0,13.0,15660.0,7448.0,6113.0,48.0,89.0,0.0,3915.0,391.5,1174.5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
/home/zacharywinn/projects/winncore-ml-detector/data/benign/gnudate,0.0,133720.0,4.435472713823355,15168.0,1.0,1.0,31.0,13.0,49636.0,216.0,14382.0,296.0,84.0,0.0,12409.0,1240.9,3722.7,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0
